trial,method,n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE,cv_R2,time_s,model,hidden_layers,units,dropout,batch_size,lookback
3,Random,,,0.008030064871219652,,8.05969186540332,11.203536843477146,6.667004721505302,-0.7612287125192596,7.7,ANN,2.0,128.0,0.3,32.0,
4,Random,,,0.0018874053315616273,,6.992050240503163,9.231228613243562,5.499960436139788,-0.3441958146380195,4.4,ANN,2.0,192.0,0.2,64.0,
5,Random,,,0.0006053383222993595,,7.964040427541695,11.004252956527012,6.724552699497768,-0.6752608311705007,3.8,ANN,1.0,64.0,0.1,32.0,
6,Random,,,0.004844677737096722,,7.179118877923012,9.776836697110815,5.868057904924665,-0.3239299846989286,7.3,ANN,2.0,256.0,0.2,32.0,
7,Random,,,0.007260179744876617,,8.036450544968357,11.28595372780863,6.678473227364677,-0.8395461048953778,3.5,ANN,2.0,128.0,0.1,64.0,
8,Random,,,0.0020238952437608886,,7.8663000555592735,10.883303514580064,6.4137850080217635,-0.7168564713264111,13.0,ANN,2.0,256.0,0.4,16.0,
9,Random,,,0.0038693425662390908,,7.415092645851649,10.205598126393799,6.19221921648298,-0.46868219651674015,6.7,ANN,1.0,64.0,0.3,16.0,
0,Optuna,,,0.0005318033256270141,,7.927963238376462,11.473872286169222,6.701762172154018,-0.7622016110928389,9.3,ANN,2.0,64.0,0.2,16.0,
1,Optuna,,,0.001960336986121068,,7.143564839615722,9.844885173208082,5.79687249319894,-0.4075103843827196,10.5,ANN,2.0,128.0,0.1,16.0,
2,Optuna,,,0.003883092140196443,,7.568119650918334,10.059858266254372,6.022070639474052,-0.6523323064945392,2.6,ANN,1.0,256.0,0.1,64.0,
3,Optuna,,,0.008342309693146735,,7.528721776981425,10.660324315126344,6.336759076799665,-0.5491320514869944,2.9,ANN,2.0,128.0,0.3,64.0,
4,Optuna,,,0.0007626348515257585,,7.294009799388567,10.436065775731786,6.180340140206473,-0.3933160203815231,3.0,ANN,2.0,192.0,0.1,64.0,
5,Optuna,,,0.0066358024852024525,,8.146451395759868,10.716297130638143,6.3247314453125,-0.8399815202410341,7.3,ANN,1.0,128.0,0.1,16.0,
6,Optuna,,,0.005035254556450075,,7.39031742624929,9.595742928907004,5.797350093296595,-0.3715616084760012,5.7,ANN,2.0,192.0,0.3,32.0,
