n_estimators,max_depth,learning_rate,subsample,cv_MAPE,cv_MAE,cv_RMSE,cv_R2,cv_std_MAPE
100,8,0.1,1.0,13.482545666320835,7.728627995082311,9.86225496610271,-1.6594619046220345,3.596421324748199
500,8,0.1,0.7,13.482836888300529,7.645541381835938,9.57077836727736,-1.1507416731110234,4.72674758089414
200,8,0.1,1.0,13.492377901027123,7.741296114240375,9.855578296209623,-1.6690006897304546,3.568606163541517
300,8,0.1,1.0,13.495040782220741,7.74307861328125,9.857584863493031,-1.6712331905716193,3.5726797583151644
500,8,0.1,1.0,13.495644254695833,7.743472017560686,9.857775633227979,-1.6715083874006158,3.572493399268562
100,3,0.3,1.0,13.572887073048921,7.647727748325893,9.437635967129678,-1.334508762160184,4.022482894101631
200,5,0.1,1.0,13.574823019249237,7.6743958064488,9.700136144187478,-1.4189174446626684,3.427313133017294
300,3,0.3,1.0,13.594187123154958,7.726183210100446,9.59495293035372,-1.4385938108695744,3.3625288578257932
300,3,0.3,0.85,13.605724328602411,7.8699455806187215,9.484756921679152,-1.5051542605046586,2.0650371252407935
100,5,0.1,0.85,13.609345723628792,7.697640991210937,9.848806312274558,-1.2886014537645503,4.298104249886024
500,8,0.3,0.85,13.624089909364105,7.689530835832869,9.964131076248368,-1.217731909971619,5.661188526151209
300,8,0.3,0.85,13.624090588162414,7.6895340510777075,9.964131947385582,-1.2177336552123408,5.661186920054065
200,8,0.3,0.85,13.624091295979039,7.689533397129604,9.964123816478088,-1.217729830499572,5.661200588626555
100,8,0.3,0.85,13.624319841565404,7.6896420615059995,9.964302239501999,-1.2178000409786338,5.6616828922028
300,5,0.05,0.85,13.628316335762577,7.669609069824219,9.554250316849275,-1.0977817326716592,4.39720086430878
200,5,0.1,0.85,13.662773251673732,7.769373267037527,9.893108444490954,-1.2591276325383536,4.435966514531256
500,3,0.3,0.85,13.683357399003444,7.921762684413364,9.548558843362937,-1.5508776465426486,2.130914524283753
300,5,0.1,0.85,13.717370646791228,7.8176861899239665,9.936318411170088,-1.2817559095254063,4.3516977612407075
500,5,0.1,0.85,13.729273174020255,7.83371216910226,9.946769891297462,-1.295649567057224,4.281970098917905
500,3,0.3,1.0,13.771249752828009,7.8263132367815285,9.71210114369831,-1.5354418054140178,3.287178438337636
300,3,0.1,0.85,13.857652883329886,7.822974286760602,9.713512877427837,-1.3038106010963042,3.835437560671686
100,8,0.05,1.0,13.861845080121242,7.891565268380302,9.960074738997136,-1.5784940198553064,4.518226654818194
300,5,0.1,1.0,13.89307519024582,7.885094669886998,9.863663630656136,-1.6221096748416806,2.9960983797832026
500,5,0.05,0.85,13.90996994398007,7.8409360613141725,9.68511795805994,-1.1804593482652879,4.378737545723336
200,8,0.05,1.0,13.962545842345051,7.974006543840682,10.065687840765628,-1.657310272532707,4.069528994071082
300,8,0.05,1.0,13.982925214507095,7.992790712629047,10.080477616586544,-1.6727125024966516,3.93116885460242
500,8,0.05,1.0,13.991109937206124,8.000519507271902,10.085179816288608,-1.6742695683482303,3.8816811159200926
100,6,0.3,0.7,14.066596895007493,7.995026343209403,10.070109625284918,-1.763175726358994,4.1243101222716065
200,6,0.3,0.7,14.08232870860102,8.004685429164343,10.078842209034502,-1.7647689498185144,4.128055201688084
500,6,0.3,0.7,14.082709272257446,8.004896545410157,10.079048824220724,-1.7647981387126819,4.127673386436075
300,6,0.3,0.7,14.082726052403654,8.0049072265625,10.079046697827332,-1.7647951967336286,4.127635152651832
500,5,0.1,1.0,14.086602732393397,8.006270762852258,9.988494154758236,-1.7563926797908067,2.833677222885299
200,8,0.3,1.0,14.110277448356047,8.15192195347377,10.293288091285287,-1.476810465607882,5.463244051174861
300,8,0.3,1.0,14.110277448356047,8.15192195347377,10.293288091285287,-1.476810465607882,5.463244051174861
500,8,0.3,1.0,14.110277876508652,8.151922116960797,10.293288112052007,-1.476810470457498,5.463244673572169
100,8,0.3,1.0,14.110489772472167,8.152000427246094,10.29332555134844,-1.4767902272923714,5.463243259249607
500,3,0.1,0.85,14.124359252816646,8.003787340436663,9.921829814683141,-1.4507100927898076,3.450337903000324
100,3,0.3,0.7,14.15167075475593,7.928905759538924,9.909509249676924,-1.1766722468193678,5.282650269942184
100,6,0.3,1.0,14.707572841053931,8.40849609375,10.536526856364123,-1.7910370613110007,4.000599837890683
200,6,0.3,1.0,14.722345812886346,8.419555827549527,10.550127306191289,-1.7995195415296195,3.9591407534398777
300,6,0.3,1.0,14.723271096675111,8.420109885079523,10.55061616843725,-1.7999381727882422,3.9592632007669444
500,6,0.3,1.0,14.723271096675111,8.420109885079523,10.55061616843725,-1.7999381727882422,3.9592632007669444
300,3,0.3,0.7,14.835018545900297,8.423151561192103,10.340474139977449,-1.598928955526961,3.877398725730768
500,3,0.3,0.7,14.928228576949726,8.487381199428013,10.379643399330277,-1.6362737520860358,3.789902888470394
200,3,0.3,0.7,14.99900932097898,8.51271253313337,10.355277604134601,-1.5783181468446723,3.850983883988229
200,5,0.3,0.7,15.142487759383403,8.560445077078683,10.523461548034021,-2.0495265739172708,4.975932551473526
100,5,0.3,0.7,15.143568536617257,8.55775408063616,10.533893944673975,-2.0320964596987396,4.9453799002807335
300,5,0.3,0.7,15.1442622127177,8.561814117431641,10.524644571842192,-2.050974670553117,4.977100339147481
500,5,0.3,0.7,15.14426238699798,8.561806106567385,10.524657129376905,-2.050939563962124,4.977094250918674
100,8,0.3,0.7,15.299240354458068,8.43653095790318,10.697830179401132,-1.7404888626286212,6.282417185399374
300,8,0.3,0.7,15.300440965365159,8.437230573381695,10.698040113201598,-1.7402759912293781,6.282504477092196
200,8,0.3,0.7,15.300444172248353,8.43723373413086,10.698033270187192,-1.7402660912077548,6.2824897536814035
500,8,0.3,0.7,15.3004538561763,8.437235968453544,10.698041297587093,-1.7402706380929984,6.2825378437899735
