specialty,model,block,MAPE,MAE,RMSE,R2,order,params,cv_RMSE,cv_MAPE
Orthopaedics,ANN,val,162.4619293737072,5.62579735983973,6.557620263319125,-0.28543034870123196,,"{'hidden_layers': 2, 'units': 256, 'dropout': 0.3, 'learning_rate': 0.0007339216231845529, 'batch_size': 64}",6.876151157883659,149.36686144008885
Orthopaedics,ANN,test,180.34190002051665,6.226497766947506,7.30164870121324,-0.17325149178706556,,"{'hidden_layers': 2, 'units': 256, 'dropout': 0.3, 'learning_rate': 0.0007339216231845529, 'batch_size': 64}",6.876151157883659,149.36686144008885
Orthopaedics,LSTM,val,149.8272133243393,5.440132005787682,6.361864293361851,-0.209831318579627,,"{'lookback': 21, 'units': 128, 'dropout': 0.3, 'learning_rate': 0.0020238952437608886, 'batch_size': 32}",6.472231119447851,146.01927161151502
Orthopaedics,LSTM,test,155.5019984009079,5.986529412473616,7.125254862162449,-0.1172492015855755,,"{'lookback': 21, 'units': 128, 'dropout': 0.3, 'learning_rate': 0.0020238952437608886, 'batch_size': 32}",6.472231119447851,146.01927161151502
Surgery,ARIMA,val,59.46337612487329,2.00586842214295,2.958136899810748,-0.11350609098906617,"(3, 1, 2)",,,
Surgery,ARIMA,test,60.61972130248261,1.9037617281918324,2.4661937772238565,-0.019742646734131286,"(3, 1, 2)",,,
Surgery,SARIMAX,val,130.5712726295371,2.7344069418228605,4.015142109141127,-1.0514356633758952,"(2, 1, 0)x(2, 1, 0, 7)",,,
Surgery,SARIMAX,test,87.07303721659304,2.2898189079676996,3.0905697704787403,-0.601449661037275,"(2, 1, 0)x(2, 1, 0, 7)",,,
Surgery,NB-GLM,val,52.251470920643705,1.9419812776072565,2.7758268305998275,0.019515352639302153,,,,
Surgery,NB-GLM,test,55.278409215047496,1.8476004765308585,2.469465093080048,-0.022449743633973007,,,,
